Year,Predicted Population
2023,50899874.456181444
2024,50628101.61352852
2025,56449318.9771728
2026,53996096.577808514
2027,58367200.40351102
2028,55209801.30326819
2029,59010418.20795418
2030,55666062.695744574
2031,59206745.2878676
2032,55855505.126760796
